id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_login,created_at,updated_at,quality_grade,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
18177129,2019-03-29,2019-03-29,,Quito,,fcheca,2018-11-06 20:20:53 UTC,2019-03-30 20:01:38 UTC,research,"",false,3,0,false,,Guajalito,-0.3305123546,-78.6093493434,244,,,false,,"",Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens,
19251162,2019-01-03 4:54:22 p.m. GMT+00:00,2019-01-03,2019-01-03 16:54:22 UTC,Edinburgh,,bee-man,2018-12-27 16:53:42 UTC,2019-01-03 17:13:56 UTC,needs_id,,false,0,0,false,2,"56A Danecourt Rd, Poole BH14 0PQ, UK",50.7265198735,-1.9588350132,44,,,false,gps,gps,Cockchafer Beetles,Melolontha,Cockchafer Beetles,Insecta,48199,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Melolontha,,
19342293,Tue Jan 01 2019 09:27:26 GMT+1000 (GMT+10),2019-01-01,2018-12-31 23:27:26 UTC,Brisbane,,pierswarmers,2018-12-31 23:30:38 UTC,2019-01-08 21:23:53 UTC,research,Huge beetle. About 10cm long. Very active. Made squeaking noise when disturbed. Was also a bit prone to nipping. I copped a good bite on the hand when trying to pick it up. ,false,2,0,false,3,"4568, Federal, QLD, AU",-26.41105,152.8299416667,165,,,false,,,Poinciana Longicorn,Agrianome spinicollis,Poinciana Longicorn,Insecta,201855,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Agrianome,Agrianome spinicollis,
19343255,Tue Jan 01 2019 09:52:05 GMT+1100 (GMT+11),2019-01-01,2018-12-31 22:52:05 UTC,Asia/Magadan,,lileb,2019-01-01 00:13:54 UTC,2019-01-01 00:37:25 UTC,research,,false,1,0,false,3,,,,10988,private,,true,,,Cowboy Beetle,Chondropyga dorsalis,Cowboy Beetle,Insecta,341892,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chondropyga,Chondropyga dorsalis,
19343633,2019-01-01 1:26:23 pm GMT+13:00,2019-01-01,2019-01-01 00:26:23 UTC,Nuku'alofa,,delautourt,2019-01-01 00:27:40 UTC,2019-01-02 03:04:09 UTC,needs_id,Irridesent Green beetle,false,1,0,false,2,"33 Moore St, Ohakune 4625, New Zealand",-39.417326712,175.39043391,4,,,false,,,Pyronota,Pyronota,,Insecta,371066,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Pyronota,,
19344264,2019-01-01T11:30,2019-01-01,2019-01-01 00:30:00 UTC,Sydney,,questagame,2019-01-01 00:58:15 UTC,2019-01-07 13:21:38 UTC,needs_id,"Sighting and photos (c) zarq.
Field Notes - Very noisy/chirpy beetle when uncovered in the soil",false,1,0,false,111,"New South Wales, AU",-34.2052412514,150.8607675547,,obscured,,true,,,Rhinoceros Beetles,Dynastinae,Horned Scarab Beetles,Insecta,136361,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,
19344379,Tue Jan 01 2019 12:09:17 GMT+1100 (GMT+11),2019-01-01,2019-01-01 01:09:17 UTC,Asia/Magadan,,damienhicks,2019-01-01 01:10:27 UTC,2019-07-18 14:34:05 UTC,research,,false,3,0,false,3,"150 Avon Road, Rye, VIC, AU",-38.395744022,144.8007172112,6,,,false,,,Golden Stag Beetle,Lamprima aurata,Golden Stag Beetle,Insecta,124223,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lamprima,Lamprima aurata,
19345676,2019/01/01 12:51 PM NZDT,2019-01-01,2018-12-31 23:51:00 UTC,Wellington,,caqalai,2019-01-01 02:34:40 UTC,2019-01-01 02:42:15 UTC,research,Found resting on the washing,false,1,0,false,,"Featherston, New Zealand",-41.1248734642,175.3270910057,15,,,false,,,Striped lax beetle,Thelyphassa lineata,Striped lax beetle,Insecta,380639,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Thelyphassa,Thelyphassa lineata,
19345713,Tue Jan 01 2019 15:32:45 GMT+1300 (GMT+13),2019-01-01,2019-01-01 02:32:45 UTC,Nuku'alofa,,jacog,2019-01-01 02:36:24 UTC,2019-01-01 02:41:30 UTC,research,,false,1,0,false,3,"South Makara Road, Makara, Wellington, NZ",-41.295705,174.6892383333,0,,,false,,,Striped lax beetle,Thelyphassa lineata,Striped lax beetle,Insecta,380639,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Thelyphassa,Thelyphassa lineata,
19346213,2019-01-01T13:54,2019-01-01,2019-01-01 02:54:00 UTC,Sydney,,questagame,2019-01-01 03:08:13 UTC,2019-09-07 16:50:59 UTC,research,"Sighting and photos (c) mewsik.
Field Notes - found in suburbs of Avalon NSW",false,3,0,false,111,"New South Wales, AU",-33.6165905423,151.2186991822,,obscured,,true,,,Fiddler Beetle,Eupoecila australasiae,Fiddler Beetle,Insecta,201859,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Eupoecila,Eupoecila australasiae,
